time,AccX,AccY,AccZ,pressureTR, pressureBR, pressureTL, pressureBL,rawPressureTR,rawPressureBR,rawPressureTL,rawPressureBL
19:32:53.379430,-0.346154,0.129630,-0.923077,,,,,,,,
19:32:53.398211,-0.326923,0.111111,-0.903846,,,,,,,,
19:32:53.398645,-0.326923,0.148148,-0.903846,,,,,,,,
19:32:53.422076,-0.346154,0.148148,-0.942308,,,,,,,,
19:32:53.448006,-0.365385,0.185185,-0.942308,,,,,,,,
19:32:53.471338,-0.384615,0.148148,-0.980769,,,,,,,,
19:32:53.471805,-0.365385,0.185185,-0.942308,,,,,,,,
19:32:53.488675,-0.365385,0.148148,-0.942308,,,,,,,,
19:32:53.496862,-0.365385,0.203704,-0.942308,,,,,,,,
19:32:53.514752,-0.365385,0.166667,-0.942308,,,,,,,,
19:32:53.514992,-0.346154,0.148148,-0.923077,,,,,,,,
19:32:53.537411,-0.384615,0.166667,-0.942308,,,,,,,,
19:32:53.556200,-0.384615,0.203704,-0.923077,,,,,,,,
19:32:53.561382,-0.384615,0.148148,-0.942308,,,,,,,,
19:32:53.576085,-0.384615,0.203704,-0.923077,,,,,,,,
19:32:53.589217,-0.365385,0.166667,-0.884615,,,,,,,,
19:32:53.589735,-0.365385,0.185185,-0.884615,,,,,,,,
19:32:53.618490,-0.384615,0.185185,-0.923077,,,,,,,,
19:32:53.631232,-0.423077,0.148148,-0.942308,,,,,,,,
19:32:53.657615,-0.403846,0.166667,-0.903846,,,,,,,,
19:32:53.673065,-0.384615,0.148148,-0.923077,,,,,,,,
19:32:53.678840,-0.365385,0.148148,-0.884615,,,,,,,,
19:32:53.681029,-0.384615,0.148148,-0.942308,,,,,,,,
19:32:53.714049,-0.346154,0.148148,-0.923077,,,,,,,,
19:32:53.756194,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:53.764586,-0.288462,0.166667,-1.000000,,,,,,,,
19:32:53.781109,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:53.878647,-0.307692,0.240741,-0.961538,,,,,,,,
19:32:53.895395,-0.288462,0.166667,-0.923077,,,,,,,,
19:32:53.931205,-0.307692,0.166667,-0.961538,,,,,,,,
19:32:53.950702,-0.288462,0.166667,-0.923077,,,,,,,,
19:32:53.951291,-0.326923,0.166667,-0.942308,,,,,,,,
19:32:53.988656,-0.288462,0.166667,-0.923077,,,,,,,,
19:32:54.015180,-0.288462,0.203704,-0.923077,,,,,,,,
19:32:54.031016,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:54.031261,-0.288462,0.203704,-0.923077,,,,,,,,
19:32:54.049869,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:54.050095,-0.288462,0.185185,-0.923077,,,,,,,,
19:32:54.063542,-0.326923,0.185185,-0.942308,,,,,,,,
19:32:54.068698,-0.288462,0.203704,-0.923077,,,,,,,,
19:32:54.085883,-0.326923,0.203704,-0.942308,,,,,,,,
19:32:54.111172,-0.346154,0.203704,-0.980769,,,,,,,,
19:32:54.133558,-0.307692,0.185185,-0.961538,,,,,,,,
19:32:54.133900,-0.288462,0.203704,-0.923077,,,,,,,,
19:32:54.174804,-0.326923,0.203704,-0.942308,,,,,,,,
19:32:54.185907,-0.288462,0.203704,-0.923077,,,,,,,,
19:32:54.199919,-0.326923,0.203704,-0.942308,,,,,,,,
19:32:54.200456,-0.288462,0.203704,-0.923077,,,,,,,,
19:32:54.234842,-0.326923,0.203704,-0.942308,,,,,,,,
19:32:54.332446,-0.346154,0.185185,-0.980769,,,,,,,,
19:32:54.348087,-0.326923,0.203704,-0.942308,,,,,,,,
19:32:54.369646,-0.288462,0.185185,-0.923077,,,,,,,,
19:32:54.370146,-0.288462,0.203704,-1.000000,,,,,,,,
19:32:54.404903,-0.307692,0.203704,-0.961538,,,,,,,,
19:32:54.414228,-0.288462,0.203704,-0.923077,,,,,,,,
19:32:54.414609,-0.326923,0.203704,-0.942308,,,,,,,,
19:32:54.433130,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:54.433499,-0.326923,0.185185,-0.942308,,,,,,,,
19:32:54.496190,-0.326923,0.166667,-0.942308,,,,,,,,
19:32:54.518401,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:54.523060,-0.326923,0.148148,-0.942308,,,,,,,,
19:32:54.549674,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:54.550094,-0.326923,0.166667,-0.942308,,,,,,,,
19:32:54.567461,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:54.586246,-0.326923,0.166667,-0.942308,,,,,,,,
19:32:54.591118,-0.346154,0.166667,-0.980769,,,,,,,,
19:32:54.610140,-0.346154,0.203704,-0.980769,,,,,,,,
19:32:54.616373,-0.326923,0.185185,-0.942308,,,,,,,,
19:32:54.648677,-0.288462,0.185185,-0.923077,,,,,,,,
19:32:54.657872,-0.326923,0.185185,-0.942308,,,,,,,,
19:32:54.680723,-0.326923,0.166667,-0.942308,,,,,,,,
19:32:54.681044,-0.326923,0.203704,-0.942308,,,,,,,,
19:32:54.700647,-0.326923,0.166667,-0.942308,,,,,,,,
19:32:54.702825,-0.326923,0.203704,-0.942308,,,,,,,,
19:32:54.719944,-0.346154,0.185185,-0.980769,,,,,,,,
19:32:54.729984,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:54.750276,-0.326923,0.148148,-0.942308,,,,,,,,
19:32:54.752296,-0.326923,0.203704,-0.942308,,,,,,,,
19:32:54.769891,-0.326923,0.148148,-0.942308,,,,,,,,
19:32:54.775119,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:54.789879,-0.326923,0.166667,-0.942308,,,,,,,,
19:32:54.809911,-0.346154,0.148148,-0.980769,,,,,,,,
19:32:54.828646,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:54.838314,-0.326923,0.166667,-0.942308,,,,,,,,
19:32:54.868541,-0.346154,0.185185,-0.980769,,,,,,,,
19:32:54.880067,-0.326923,0.185185,-0.942308,,,,,,,,
19:32:54.897933,-0.346154,0.185185,-0.980769,,,,,,,,
19:32:54.898386,-0.326923,0.185185,-0.942308,,,,,,,,
19:32:54.928583,-0.346154,0.185185,-0.980769,,,,,,,,
19:32:54.936499,-0.326923,0.185185,-0.942308,,,,,,,,
19:32:54.966532,-0.346154,0.185185,-0.980769,,,,,,,,
19:32:54.966901,-0.326923,0.185185,-0.942308,,,,,,,,
19:32:55.112364,-0.288462,0.185185,-0.923077,,,,,,,,
19:32:55.143893,-0.288462,0.166667,-0.923077,,,,,,,,
19:32:55.144114,-0.326923,0.203704,-0.942308,,,,,,,,
19:32:55.229961,-0.346154,0.203704,-0.980769,,,,,,,,
19:32:55.240935,-0.307692,0.185185,-0.961538,,,,,,,,
19:32:55.258138,-0.288462,0.185185,-0.923077,,,,,,,,
19:32:55.258416,-0.288462,0.185185,-1.000000,,,,,,,,
19:32:55.284429,-0.326923,0.203704,-0.942308,,,,,,,,
19:32:55.284801,-0.326923,0.203704,-1.019231,,,,,,,,
19:32:55.297472,-0.326923,0.148148,-0.942308,,,,,,,,
19:32:55.317565,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:55.341145,-0.346154,0.166667,-0.942308,,,,,,,,
19:32:55.356535,-0.326923,0.203704,-0.942308,,,,,,,,
19:32:55.384502,-0.326923,0.148148,-0.942308,,,,,,,,
19:32:55.393795,-0.326923,0.185185,-0.942308,,,,,,,,
19:32:55.394038,-0.326923,0.185185,-1.019231,,,,,,,,
19:32:55.420159,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:55.437407,-0.326923,0.166667,-0.942308,,,,,,,,
19:32:55.499937,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:55.519316,-0.288462,0.185185,-0.923077,,,,,,,,
19:32:55.519512,-0.288462,0.222222,-0.923077,,,,,,,,
19:32:55.540196,-0.288462,0.203704,-0.923077,,,,,,,,
19:32:55.540499,-0.326923,0.148148,-0.942308,,,,,,,,
19:32:55.556185,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:55.564697,-0.326923,0.203704,-0.942308,,,,,,,,
19:32:55.666172,-0.326923,0.148148,-0.923077,,,,,,,,
19:32:55.682035,-0.384615,0.166667,-0.980769,,,,,,,,
19:32:55.687404,-0.326923,0.148148,-0.923077,,,,,,,,
19:32:55.701364,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:55.713461,-0.288462,0.203704,-0.942308,,,,,,,,
19:32:55.736113,-0.346154,0.203704,-0.942308,,,,,,,,
19:32:55.753672,-0.346154,0.148148,-0.923077,,,,,,,,
19:32:55.771215,-0.346154,0.166667,-0.961538,,,,,,,,
19:32:55.798701,-0.288462,0.166667,-0.923077,,,,,,,,
19:32:55.816055,-0.346154,0.148148,-0.942308,,,,,,,,
19:32:55.825510,-0.326923,0.203704,-0.923077,,,,,,,,
19:32:55.871180,-0.326923,0.148148,-0.942308,,,,,,,,
19:32:55.894156,-0.346154,0.166667,-0.961538,,,,,,,,
19:32:55.894602,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:55.914358,-0.326923,0.203704,-0.942308,,,,,,,,
19:32:55.914860,-0.326923,0.148148,-0.942308,,,,,,,,
19:32:55.966062,-0.346154,0.185185,-0.942308,,,,,,,,
19:32:55.977969,-0.346154,0.166667,-0.923077,,,,,,,,
19:32:55.999882,-0.346154,0.185185,-0.923077,,,,,,,,
19:32:56.014612,-0.384615,0.203704,-0.942308,,,,,,,,
19:32:56.015016,-0.326923,0.185185,-0.923077,,,,,,,,
19:32:56.032391,-0.384615,0.203704,-0.942308,,,,,,,,
19:32:56.032754,-0.346154,0.185185,-0.923077,,,,,,,,
19:32:56.064552,-0.346154,0.148148,-0.923077,,,,,,,,
19:32:56.126154,-0.346154,0.148148,-0.980769,,,,,,,,
19:32:56.157960,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:56.158398,-0.326923,0.148148,-0.942308,,,,,,,,
19:32:56.273023,-0.326923,0.185185,-0.942308,,,,,,,,
19:32:56.502235,-0.346154,0.148148,-0.980769,,,,,,,,
19:32:56.514828,-0.326923,0.185185,-0.942308,,,,,,,,
19:32:56.531334,-0.326923,0.148148,-0.942308,,,,,,,,
19:32:56.621050,-0.346154,0.148148,-0.980769,,,,,,,,
19:32:56.630238,-0.326923,0.166667,-0.942308,,,,,,,,
19:32:56.669746,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:56.681353,-0.326923,0.148148,-0.942308,,,,,,,,
19:32:56.734885,-0.326923,0.203704,-0.942308,,,,,,,,
19:32:56.743215,-0.326923,0.166667,-0.942308,,,,,,,,
19:32:56.795048,-0.346154,0.148148,-0.980769,,,,,,,,
19:32:56.813777,-0.288462,0.166667,-0.923077,,,,,,,,
19:32:56.824922,-0.326923,0.166667,-0.942308,,,,,,,,
19:32:56.825331,-0.326923,0.185185,-0.942308,,,,,,,,
19:32:56.851732,-0.326923,0.148148,-0.942308,,,,,,,,
19:32:56.852000,-0.346154,0.166667,-0.980769,,,,,,,,
19:32:56.867457,-0.307692,0.185185,-0.961538,,,,,,,,
19:32:56.869968,-0.288462,0.203704,-0.923077,,,,,,,,
19:32:56.889116,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:56.914810,-0.326923,0.166667,-0.942308,,,,,,,,
19:32:56.935386,-0.326923,0.203704,-0.942308,,,,,,,,
19:32:56.953172,-0.326923,0.148148,-0.942308,,,,,,,,
19:32:56.953401,-0.326923,0.185185,-0.942308,,,,,,,,
19:32:57.016200,-0.346154,0.203704,-0.980769,,,,,,,,
19:32:57.032215,-0.326923,0.203704,-0.942308,,,,,,,,
19:32:57.032600,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:57.057282,-0.288462,0.203704,-0.923077,,,,,,,,
19:32:57.104137,-0.326923,0.166667,-0.942308,,,,,,,,
19:32:57.104347,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:57.104461,-0.326923,0.203704,-0.942308,,,,,,,,
19:32:57.104571,-0.326923,0.166667,-0.942308,,,,,,,,
19:32:57.104623,-0.326923,0.203704,-0.942308,,,,,,,,
19:32:57.123570,-0.346154,0.185185,-0.980769,,,,,,,,
19:32:57.123831,-0.288462,0.166667,-0.923077,,,,,,,,
19:32:57.145779,-0.288462,0.203704,-0.923077,,,,,,,,
19:32:57.146168,-0.326923,0.166667,-0.942308,,,,,,,,
19:32:57.169786,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:57.183824,-0.326923,0.203704,-0.942308,,,,,,,,
19:32:57.190951,-0.288462,0.185185,-0.923077,,,,,,,,
19:32:57.197571,-0.326923,0.166667,-0.942308,,,,,,,,
19:32:57.259887,-0.326923,0.185185,-0.942308,,,,,,,,
19:32:57.271708,-0.326923,0.148148,-0.942308,,,,,,,,
19:32:57.281054,-0.346154,0.203704,-0.980769,,,,,,,,
19:32:57.300868,-0.307692,0.185185,-0.923077,,,,,,,,
19:32:57.314273,-0.326923,0.166667,-0.942308,,,,,,,,
19:32:57.314631,-0.326923,0.203704,-0.942308,,,,,,,,
19:32:57.331013,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:57.333539,-0.326923,0.166667,-0.942308,,,,,,,,
19:32:57.381036,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:57.401789,-0.346154,0.166667,-0.942308,,,,,,,,
19:32:57.460258,-0.288462,0.148148,-0.923077,,,,,,,,
19:32:57.496059,-0.288462,0.185185,-0.942308,,,,,,,,
